claim_id,table,column,selector,quoted,table_value,bound,detail
skillgap-c-sharp-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=C#,company_a=google,company_b=microsoft",-0.3473,-0.3473,True,-0.3473 == -0.3473
skillgap-azure-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Azure,company_a=google,company_b=microsoft",-0.6101,-0.6101,True,-0.6101 == -0.6101
skillgap-r-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=R,company_a=google,company_b=nvidia",0.3212,0.3212,True,0.3212 == 0.3212
skillgap-sql-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SQL,company_a=google,company_b=nvidia",0.1993,0.1993,True,0.1993 == 0.1993
skillgap-looker-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Looker,company_a=google,company_b=nvidia",0.1162,0.1162,True,0.1162 == 0.1162
skillgap-javascript-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=JavaScript,company_a=google,company_b=nvidia",0.1072,0.1072,True,0.1072 == 0.1072
skillgap-bigquery-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=BigQuery,company_a=google,company_b=nvidia",0.106,0.106,True,0.106 == 0.106
skillgap-sas-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SAS,company_a=google,company_b=nvidia",0.0581,0.0581,True,0.0581 == 0.0581
skillgap-matlab-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=MATLAB,company_a=google,company_b=nvidia",0.0513,0.0513,True,0.0513 == 0.0513
skillgap-express-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Express,company_a=google,company_b=nvidia",0.0256,0.0256,True,0.0256 == 0.0256
skillgap-c-sharp-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=C#,company_a=google,company_b=nvidia",0.0239,0.0239,True,0.0239 == 0.0239
skillgap-jenkins-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Jenkins,company_a=google,company_b=nvidia",-0.038,-0.038,True,-0.038 == -0.038
skillgap-ansible-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Ansible,company_a=google,company_b=nvidia",-0.0397,-0.0397,True,-0.0397 == -0.0397
skillgap-numpy-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=NumPy,company_a=google,company_b=nvidia",-0.0458,-0.0458,True,-0.0458 == -0.0458
skillgap-matplotlib-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Matplotlib,company_a=google,company_b=nvidia",-0.0439,-0.0439,True,-0.0439 == -0.0439
skillgap-splunk-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Splunk,company_a=google,company_b=nvidia",-0.0475,-0.0475,True,-0.0475 == -0.0475
skillgap-github-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=GitHub,company_a=google,company_b=nvidia",-0.0502,-0.0502,True,-0.0502 == -0.0502
skillgap-scikit-learn-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=scikit-learn,company_a=google,company_b=nvidia",-0.0546,-0.0546,True,-0.0546 == -0.0546
skillgap-pandas-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=pandas,company_a=google,company_b=nvidia",-0.0709,-0.0709,True,-0.0709 == -0.0709
skillgap-azure-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Azure,company_a=google,company_b=nvidia",-0.0748,-0.0748,True,-0.0748 == -0.0748
skillgap-bash-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Bash,company_a=google,company_b=nvidia",-0.0809,-0.0809,True,-0.0809 == -0.0809
skillgap-git-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Git,company_a=google,company_b=nvidia",-0.1096,-0.1096,True,-0.1096 == -0.1096
skillgap-kafka-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Kafka,company_a=google,company_b=nvidia",-0.1291,-0.1291,True,-0.1291 == -0.1291
skillgap-aws-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=AWS,company_a=google,company_b=nvidia",-0.1318,-0.1318,True,-0.1318 == -0.1318
skillgap-docker-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Docker,company_a=google,company_b=nvidia",-0.1732,-0.1732,True,-0.1732 == -0.1732
skillgap-pytorch-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=PyTorch,company_a=google,company_b=nvidia",-0.1841,-0.1841,True,-0.1841 == -0.1841
skillgap-linux-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Linux,company_a=google,company_b=nvidia",-0.2057,-0.2057,True,-0.2057 == -0.2057
skillgap-spark-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Spark,company_a=google,company_b=nvidia",-0.2279,-0.2279,True,-0.2279 == -0.2279
skillgap-kubernetes-google-nvidia,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Kubernetes,company_a=google,company_b=nvidia",-0.2646,-0.2646,True,-0.2646 == -0.2646
skillgap-r-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=R,company_a=google,company_b=snowflake",0.239,0.239,True,0.239 == 0.239
skillgap-looker-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Looker,company_a=google,company_b=snowflake",0.114,0.114,True,0.114 == 0.114
skillgap-python-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Python,company_a=google,company_b=snowflake",0.0949,0.0949,True,0.0949 == 0.0949
skillgap-machine-learning-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Machine Learning,company_a=google,company_b=snowflake",0.0777,0.0777,True,0.0777 == 0.0777
skillgap-tensorflow-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=TensorFlow,company_a=google,company_b=snowflake",0.0771,0.0771,True,0.0771 == 0.0771
skillgap-nosql-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=NoSQL,company_a=google,company_b=snowflake",0.0715,0.0715,True,0.0715 == 0.0715
skillgap-sas-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SAS,company_a=google,company_b=snowflake",0.0581,0.0581,True,0.0581 == 0.0581
skillgap-bigquery-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=BigQuery,company_a=google,company_b=snowflake",0.0595,0.0595,True,0.0595 == 0.0595
skillgap-matlab-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=MATLAB,company_a=google,company_b=snowflake",0.0513,0.0513,True,0.0513 == 0.0513
skillgap-linux-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Linux,company_a=google,company_b=snowflake",0.0417,0.0417,True,0.0417 == 0.0417
skillgap-sap-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SAP,company_a=google,company_b=snowflake",0.0308,0.0308,True,0.0308 == 0.0308
skillgap-mongodb-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=MongoDB,company_a=google,company_b=snowflake",0.0293,0.0293,True,0.0293 == 0.0293
skillgap-c-sharp-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=C#,company_a=google,company_b=snowflake",0.0217,0.0217,True,0.0217 == 0.0217
skillgap-oracle-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Oracle,company_a=google,company_b=snowflake",0.0231,0.0231,True,0.0231 == 0.0231
skillgap-perl-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Perl,company_a=google,company_b=snowflake",0.0202,0.0202,True,0.0202 == 0.0202
skillgap-terraform-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Terraform,company_a=google,company_b=snowflake",-0.0256,-0.0256,True,-0.0256 == -0.0256
skillgap-jira-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Jira,company_a=google,company_b=snowflake",-0.0288,-0.0288,True,-0.0288 == -0.0288
skillgap-jenkins-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Jenkins,company_a=google,company_b=snowflake",-0.0296,-0.0296,True,-0.0296 == -0.0296
skillgap-cassandra-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Cassandra,company_a=google,company_b=snowflake",-0.0298,-0.0298,True,-0.0298 == -0.0298
skillgap-git-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Git,company_a=google,company_b=snowflake",-0.0354,-0.0354,True,-0.0354 == -0.0354
skillgap-node-dot-js-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Node.js,company_a=google,company_b=snowflake",-0.042,-0.042,True,-0.042 == -0.042
skillgap-redshift-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Redshift,company_a=google,company_b=snowflake",-0.0413,-0.0413,True,-0.0413 == -0.0413
skillgap-numpy-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=NumPy,company_a=google,company_b=snowflake",-0.0485,-0.0485,True,-0.0485 == -0.0485
skillgap-vmware-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=VMware,company_a=google,company_b=snowflake",-0.0536,-0.0536,True,-0.0536 == -0.0536
skillgap-react-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=React,company_a=google,company_b=snowflake",-0.0566,-0.0566,True,-0.0566 == -0.0566
skillgap-kafka-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Kafka,company_a=google,company_b=snowflake",-0.064,-0.064,True,-0.064 == -0.064
skillgap-kubernetes-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Kubernetes,company_a=google,company_b=snowflake",-0.0879,-0.0879,True,-0.0879 == -0.0879
skillgap-pandas-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=pandas,company_a=google,company_b=snowflake",-0.0916,-0.0916,True,-0.0916 == -0.0916
skillgap-typescript-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=TypeScript,company_a=google,company_b=snowflake",-0.0908,-0.0908,True,-0.0908 == -0.0908
skillgap-docker-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Docker,company_a=google,company_b=snowflake",-0.0952,-0.0952,True,-0.0952 == -0.0952
skillgap-scikit-learn-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=scikit-learn,company_a=google,company_b=snowflake",-0.0994,-0.0994,True,-0.0994 == -0.0994
skillgap-airflow-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Airflow,company_a=google,company_b=snowflake",-0.1051,-0.1051,True,-0.1051 == -0.1051
skillgap-windows-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Windows,company_a=google,company_b=snowflake",-0.1176,-0.1176,True,-0.1176 == -0.1176
skillgap-gcp-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=GCP,company_a=google,company_b=snowflake",-0.1338,-0.1338,True,-0.1338 == -0.1338
skillgap-spark-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Spark,company_a=google,company_b=snowflake",-0.142,-0.142,True,-0.142 == -0.142
skillgap-sql-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SQL,company_a=google,company_b=snowflake",-0.1965,-0.1965,True,-0.1965 == -0.1965
skillgap-java-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Java,company_a=google,company_b=snowflake",-0.239,-0.239,True,-0.239 == -0.239
skillgap-azure-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Azure,company_a=google,company_b=snowflake",-0.2923,-0.2923,True,-0.2923 == -0.2923
skillgap-aws-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=AWS,company_a=google,company_b=snowflake",-0.2968,-0.2968,True,-0.2968 == -0.2968
skillgap-excel-google-snowflake,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Excel,company_a=google,company_b=snowflake",-0.327,-0.327,True,-0.327 == -0.327
distinct-swift,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Swift,0.0051,0.0051,True,0.0051 == 0.0051
distinct-flutter,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Flutter,0.0017,0.0017,True,0.0017 == 0.0017
distinct-dart,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Dart,0.0017,0.0017,True,0.0017 == 0.0017
distinct-cognos,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Cognos,0.0064,0.0064,True,0.0064 == 0.0064
distinct-firebase,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Firebase,0.0017,0.0017,True,0.0017 == 0.0017
distinct-macos,task-06-tables/skill-distinctiveness-google.csv,diff,skill=macOS,0.0064,0.0064,True,0.0064 == 0.0064
distinct-microsoft-access,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Microsoft Access,0.0017,0.0017,True,0.0017 == 0.0017
distinct-mxnet,task-06-tables/skill-distinctiveness-google.csv,diff,skill=MXNet,0.0047,0.0047,True,0.0047 == 0.0047
distinct-bigquery,task-06-tables/skill-distinctiveness-google.csv,diff,skill=BigQuery,0.0908,0.0908,True,0.0908 == 0.0908
distinct-rust,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Rust,0.0059,0.0059,True,0.0059 == 0.0059
distinct-objective-c,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Objective-C,0.0059,0.0059,True,0.0059 == 0.0059
distinct-plotly,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Plotly,0.0072,0.0072,True,0.0072 == 0.0072
distinct-looker,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Looker,0.0984,0.0984,True,0.0984 == 0.0984
distinct-assembly,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Assembly,0.0042,0.0042,True,0.0042 == 0.0042
distinct-kotlin,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Kotlin,0.0042,0.0042,True,0.0042 == 0.0042
distinct-colocation,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Colocation,0.0055,0.0055,True,0.0055 == 0.0055
distinct-nosql,task-06-tables/skill-distinctiveness-google.csv,diff,skill=NoSQL,0.0594,0.0594,True,0.0594 == 0.0594
distinct-shell,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Shell,0.0153,0.0153,True,0.0153 == 0.0153
distinct-mongodb,task-06-tables/skill-distinctiveness-google.csv,diff,skill=MongoDB,0.0221,0.0221,True,0.0221 == 0.0221
distinct-javascript,task-06-tables/skill-distinctiveness-google.csv,diff,skill=JavaScript,0.0765,0.0765,True,0.0765 == 0.0765
distinct-sap,task-06-tables/skill-distinctiveness-google.csv,diff,skill=SAP,0.0191,0.0191,True,0.0191 == 0.0191
distinct-express,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Express,0.0149,0.0149,True,0.0149 == 0.0149
distinct-microstrategy,task-06-tables/skill-distinctiveness-google.csv,diff,skill=MicroStrategy,0.0038,0.0038,True,0.0038 == 0.0038
distinct-oracle,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Oracle,0.0196,0.0196,True,0.0196 == 0.0196
distinct-go,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Go,0.0843,0.0843,True,0.0843 == 0.0843
distinct-tensorflow,task-06-tables/skill-distinctiveness-google.csv,diff,skill=TensorFlow,0.0609,0.0609,True,0.0609 == 0.0609
distinct-ubuntu,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Ubuntu,0.0004,0.0004,True,0.0004 == 0.0004
distinct-machine-learning,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Machine Learning,0.0385,0.0385,True,0.0385 == 0.0385
distinct-linux,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Linux,0.0308,0.0308,True,0.0308 == 0.0308
distinct-unix,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Unix,0.003,0.003,True,0.003 == 0.003
distinct-c,task-06-tables/skill-distinctiveness-google.csv,diff,skill=C,0.0193,0.0193,True,0.0193 == 0.0193
distinct-django,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Django,-0.0004,-0.0004,True,-0.0004 == -0.0004
distinct-html,task-06-tables/skill-distinctiveness-google.csv,diff,skill=HTML,0.0035,0.0035,True,0.0035 == 0.0035
distinct-groovy,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Groovy,-0.0004,-0.0004,True,-0.0004 == -0.0004
distinct-vue-dot-js,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Vue.js,-0.0004,-0.0004,True,-0.0004 == -0.0004
distinct-gdpr,task-06-tables/skill-distinctiveness-google.csv,diff,skill=GDPR,0.0,0.0,True,0.0 == 0.0
distinct-cuda,task-06-tables/skill-distinctiveness-google.csv,diff,skill=CUDA,-0.0004,-0.0004,True,-0.0004 == -0.0004
distinct-ansible,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Ansible,0.0017,0.0017,True,0.0017 == 0.0017
distinct-sas,task-06-tables/skill-distinctiveness-google.csv,diff,skill=SAS,0.0138,0.0138,True,0.0138 == 0.0138
distinct-r,task-06-tables/skill-distinctiveness-google.csv,diff,skill=R,0.0867,0.0867,True,0.0867 == 0.0867
distinct-matlab,task-06-tables/skill-distinctiveness-google.csv,diff,skill=MATLAB,0.0112,0.0112,True,0.0112 == 0.0112
distinct-google-sheets,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Google Sheets,0.0005,0.0005,True,0.0005 == 0.0005
distinct-puppet,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Puppet,0.0,0.0,True,0.0 == 0.0
distinct-jupyter,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Jupyter,0.0,0.0,True,0.0 == 0.0
distinct-chef,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Chef,0.0,0.0,True,0.0 == 0.0
distinct-qlik,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Qlik,-0.0004,-0.0004,True,-0.0004 == -0.0004
distinct-splunk,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Splunk,-0.0008,-0.0008,True,-0.0008 == -0.0008
distinct-c-plus-plus,task-06-tables/skill-distinctiveness-google.csv,diff,skill=C++,-0.0079,-0.0079,True,-0.0079 == -0.0079
distinct-python,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Python,-0.0303,-0.0303,True,-0.0303 == -0.0303
distinct-java,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Java,-0.0114,-0.0114,True,-0.0114 == -0.0114
distinct-spss,task-06-tables/skill-distinctiveness-google.csv,diff,skill=SPSS,-0.0016,-0.0016,True,-0.0016 == -0.0016
distinct-computer-vision,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Computer Vision,-0.0008,-0.0008,True,-0.0008 == -0.0008
distinct-perl,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Perl,-0.0045,-0.0045,True,-0.0045 == -0.0045
distinct-terraform,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Terraform,-0.0029,-0.0029,True,-0.0029 == -0.0029
distinct-flask,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Flask,-0.0008,-0.0008,True,-0.0008 == -0.0008
distinct-keras,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Keras,-0.0033,-0.0033,True,-0.0033 == -0.0033
distinct-css,task-06-tables/skill-distinctiveness-google.csv,diff,skill=CSS,-0.0054,-0.0054,True,-0.0054 == -0.0054
distinct-sql,task-06-tables/skill-distinctiveness-google.csv,diff,skill=SQL,-0.1797,-0.1797,True,-0.1797 == -0.1797
distinct-mysql,task-06-tables/skill-distinctiveness-google.csv,diff,skill=MySQL,-0.0054,-0.0054,True,-0.0054 == -0.0054
distinct-hadoop,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Hadoop,-0.0639,-0.0639,True,-0.0639 == -0.0639
distinct-typescript,task-06-tables/skill-distinctiveness-google.csv,diff,skill=TypeScript,-0.0117,-0.0117,True,-0.0117 == -0.0117
distinct-scala,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Scala,-0.0657,-0.0657,True,-0.0657 == -0.0657
distinct-angular,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Angular,-0.005,-0.005,True,-0.005 == -0.005
distinct-nltk,task-06-tables/skill-distinctiveness-google.csv,diff,skill=NLTK,-0.0013,-0.0013,True,-0.0013 == -0.0013
distinct-tableau,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Tableau,-0.0389,-0.0389,True,-0.0389 == -0.0389
distinct-ruby-on-rails,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Ruby on Rails,-0.0013,-0.0013,True,-0.0013 == -0.0013
distinct-airflow,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Airflow,-0.0168,-0.0168,True,-0.0168 == -0.0168
distinct-bash,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Bash,-0.0071,-0.0071,True,-0.0071 == -0.0071
distinct-jenkins,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Jenkins,-0.0101,-0.0101,True,-0.0101 == -0.0101
distinct-github,task-06-tables/skill-distinctiveness-google.csv,diff,skill=GitHub,-0.0084,-0.0084,True,-0.0084 == -0.0084
distinct-openstack,task-06-tables/skill-distinctiveness-google.csv,diff,skill=OpenStack,-0.0034,-0.0034,True,-0.0034 == -0.0034
distinct-pytorch,task-06-tables/skill-distinctiveness-google.csv,diff,skill=PyTorch,-0.0373,-0.0373,True,-0.0373 == -0.0373
distinct-data-modelling,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Data Modelling,-0.0017,-0.0017,True,-0.0017 == -0.0017
distinct-hugging-face,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Hugging Face,-0.0017,-0.0017,True,-0.0017 == -0.0017
distinct-nlp,task-06-tables/skill-distinctiveness-google.csv,diff,skill=NLP,-0.0017,-0.0017,True,-0.0017 == -0.0017
distinct-microsoft-outlook,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Microsoft Outlook,-0.008,-0.008,True,-0.008 == -0.008
distinct-etl,task-06-tables/skill-distinctiveness-google.csv,diff,skill=ETL,-0.0017,-0.0017,True,-0.0017 == -0.0017
distinct-pandas,task-06-tables/skill-distinctiveness-google.csv,diff,skill=pandas,-0.0378,-0.0378,True,-0.0378 == -0.0378
distinct-gcp,task-06-tables/skill-distinctiveness-google.csv,diff,skill=GCP,-0.0546,-0.0546,True,-0.0546 == -0.0546
distinct-sql-server,task-06-tables/skill-distinctiveness-google.csv,diff,skill=SQL Server,-0.0088,-0.0088,True,-0.0088 == -0.0088
distinct-react,task-06-tables/skill-distinctiveness-google.csv,diff,skill=React,-0.0197,-0.0197,True,-0.0197 == -0.0197
distinct-microsoft-word,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Microsoft Word,-0.0101,-0.0101,True,-0.0101 == -0.0101
distinct-dot-net,task-06-tables/skill-distinctiveness-google.csv,diff,skill=.NET,-0.0021,-0.0021,True,-0.0021 == -0.0021
distinct-llm,task-06-tables/skill-distinctiveness-google.csv,diff,skill=LLM,-0.0021,-0.0021,True,-0.0021 == -0.0021
distinct-numpy,task-06-tables/skill-distinctiveness-google.csv,diff,skill=NumPy,-0.0202,-0.0202,True,-0.0202 == -0.0202
distinct-power-bi,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Power BI,-0.0282,-0.0282,True,-0.0282 == -0.0282
distinct-redshift,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Redshift,-0.0139,-0.0139,True,-0.0139 == -0.0139
distinct-elasticsearch,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Elasticsearch,-0.0063,-0.0063,True,-0.0063 == -0.0063
distinct-neo4j,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Neo4j,-0.0025,-0.0025,True,-0.0025 == -0.0025
distinct-docker,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Docker,-0.0391,-0.0391,True,-0.0391 == -0.0391
distinct-kubernetes,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Kubernetes,-0.0513,-0.0513,True,-0.0513 == -0.0513
distinct-redis,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Redis,-0.0067,-0.0067,True,-0.0067 == -0.0067
distinct-ruby,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Ruby,-0.0072,-0.0072,True,-0.0072 == -0.0072
distinct-dynamodb,task-06-tables/skill-distinctiveness-google.csv,diff,skill=DynamoDB,-0.0029,-0.0029,True,-0.0029 == -0.0029
distinct-vba,task-06-tables/skill-distinctiveness-google.csv,diff,skill=VBA,-0.0029,-0.0029,True,-0.0029 == -0.0029
distinct-spring,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Spring,-0.0034,-0.0034,True,-0.0034 == -0.0034
distinct-alteryx,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Alteryx,-0.0034,-0.0034,True,-0.0034 == -0.0034
distinct-deep-learning,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Deep Learning,-0.0034,-0.0034,True,-0.0034 == -0.0034
distinct-confluence,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Confluence,-0.0034,-0.0034,True,-0.0034 == -0.0034
distinct-spark,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Spark,-0.2066,-0.2066,True,-0.2066 == -0.2066
distinct-c-sharp,task-06-tables/skill-distinctiveness-google.csv,diff,skill=C#,-0.0938,-0.0938,True,-0.0938 == -0.0938
distinct-vmware,task-06-tables/skill-distinctiveness-google.csv,diff,skill=VMware,-0.0109,-0.0109,True,-0.0109 == -0.0109
distinct-julia,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Julia,-0.0042,-0.0042,True,-0.0042 == -0.0042
distinct-cassandra,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Cassandra,-0.0185,-0.0185,True,-0.0185 == -0.0185
distinct-windows,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Windows,-0.0472,-0.0472,True,-0.0472 == -0.0472
distinct-scikit-learn,task-06-tables/skill-distinctiveness-google.csv,diff,skill=scikit-learn,-0.056,-0.056,True,-0.056 == -0.056
distinct-powerpoint,task-06-tables/skill-distinctiveness-google.csv,diff,skill=PowerPoint,-0.0051,-0.0051,True,-0.0051 == -0.0051
distinct-gitlab,task-06-tables/skill-distinctiveness-google.csv,diff,skill=GitLab,-0.0055,-0.0055,True,-0.0055 == -0.0055
distinct-snowflake,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Snowflake,-0.176,-0.176,True,-0.176 == -0.176
distinct-seaborn,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Seaborn,-0.0072,-0.0072,True,-0.0072 == -0.0072
distinct-generative-ai,task-06-tables/skill-distinctiveness-google.csv,diff,skill=Generative AI,-0.0072,-0.0072,True,-0.0072 == -0.0072
